timestamp	area	operation	method	endpoint	product_id	variant_id	field_name	status_code	outcome	details
2026-05-15 15:45:57	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365259747563/images/49826928918763.json	9365259747563		images	200	OK	image_id=49826928918763
2026-05-15 15:45:59	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365259813099/images/49826929574123.json	9365259813099		images	200	OK	image_id=49826929574123
2026-05-15 15:46:02	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365259911403/images/49826930491627.json	9365259911403		images	200	OK	image_id=49826930491627
2026-05-15 15:46:04	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365259944171/images/49826931376363.json	9365259944171		images	200	OK	image_id=49826931376363
2026-05-15 15:46:06	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365259976939/images/49826932130027.json	9365259976939		images	200	OK	image_id=49826932130027
2026-05-15 15:46:08	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365265252587/images/49826933342443.json	9365265252587		images	200	OK	image_id=49826933342443
2026-05-15 15:46:11	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365265318123/images/49826934358251.json	9365265318123		images	200	OK	image_id=49826934358251
2026-05-15 15:46:13	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260009707/images/49826935603435.json	9365260009707		images	200	OK	image_id=49826935603435
2026-05-15 15:46:16	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260075243/images/49826935931115.json	9365260075243		images	200	OK	image_id=49826935931115
2026-05-15 15:46:18	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260173547/images/49826936291563.json	9365260173547		images	200	OK	image_id=49826936291563
2026-05-15 15:46:21	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260239083/images/49826936586475.json	9365260239083		images	200	OK	image_id=49826936586475
2026-05-15 15:46:23	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260271851/images/49826936979691.json	9365260271851		images	200	OK	image_id=49826936979691
2026-05-15 15:46:25	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260304619/images/49826937372907.json	9365260304619		images	200	OK	image_id=49826937372907
2026-05-15 15:46:27	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260435691/images/49826938224875.json	9365260435691		images	200	OK	image_id=49826938224875
2026-05-15 15:46:29	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260468459/images/49826939732203.json	9365260468459		images	200	OK	image_id=49826939732203
2026-05-15 15:46:31	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260533995/images/49826940485867.json	9365260533995		images	200	OK	image_id=49826940485867
2026-05-15 15:46:33	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260566763/images/49826941305067.json	9365260566763		images	200	OK	image_id=49826941305067
2026-05-15 15:46:35	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260632299/images/49826942353643.json	9365260632299		images	200	OK	image_id=49826942353643
2026-05-15 15:46:37	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260730603/images/49826943500523.json	9365260730603		images	200	OK	image_id=49826943500523
2026-05-15 15:46:39	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260796139/images/49826944516331.json	9365260796139		images	200	OK	image_id=49826944516331
2026-05-15 15:46:42	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260828907/images/49826945171691.json	9365260828907		images	200	OK	image_id=49826945171691
2026-05-15 15:46:44	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260927211/images/49826945532139.json	9365260927211		images	200	OK	image_id=49826945532139
2026-05-15 15:46:46	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365260992747/images/49826945892587.json	9365260992747		images	200	OK	image_id=49826945892587
2026-05-15 15:46:49	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365261025515/images/49826946580715.json	9365261025515		images	200	OK	image_id=49826946580715
2026-05-15 15:46:51	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365261091051/images/49826946941163.json	9365261091051		images	200	OK	image_id=49826946941163
2026-05-15 15:46:53	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365261123819/images/49826947301611.json	9365261123819		images	200	OK	image_id=49826947301611
2026-05-15 15:46:55	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365261254891/images/49826948120811.json	9365261254891		images	200	OK	image_id=49826948120811
2026-05-15 15:46:58	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365261287659/images/49826949071083.json	9365261287659		images	200	OK	image_id=49826949071083
2026-05-15 15:47:00	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365261353195/images/49826949988587.json	9365261353195		images	200	OK	image_id=49826949988587
2026-05-15 15:47:02	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365261385963/images/49826951037163.json	9365261385963		images	200	OK	image_id=49826951037163
2026-05-15 15:47:04	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365261549803/images/49826952315115.json	9365261549803		images	200	OK	image_id=49826952315115
2026-05-15 15:47:06	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365261582571/images/49826952970475.json	9365261582571		images	200	OK	image_id=49826952970475
2026-05-15 15:47:08	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365261648107/images/49826953822443.json	9365261648107		images	200	OK	image_id=49826953822443
2026-05-15 15:47:10	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365261779179/images/49826954281195.json	9365261779179		images	200	OK	image_id=49826954281195
2026-05-15 15:47:13	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365261877483/images/49826954739947.json	9365261877483		images	200	OK	image_id=49826954739947
2026-05-15 15:47:15	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365261910251/images/49826955067627.json	9365261910251		images	200	OK	image_id=49826955067627
2026-05-15 15:47:17	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365262074091/images/49826955591915.json	9365262074091		images	200	OK	image_id=49826955591915
2026-05-15 15:47:19	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365262139627/images/49826956017899.json	9365262139627		images	200	OK	image_id=49826956017899
2026-05-15 15:47:21	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365262205163/images/49826956345579.json	9365262205163		images	200	OK	image_id=49826956345579
2026-05-15 15:47:23	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365262336235/images/49826957394155.json	9365262336235		images	200	OK	image_id=49826957394155
2026-05-15 15:47:25	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365262401771/images/49826958409963.json	9365262401771		images	200	OK	image_id=49826958409963
2026-05-15 15:47:27	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365262434539/images/49826960212203.json	9365262434539		images	200	OK	image_id=49826960212203
2026-05-15 15:47:29	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365262500075/images/49826960998635.json	9365262500075		images	200	OK	image_id=49826960998635
2026-05-15 15:47:31	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365262598379/images/49826962276587.json	9365262598379		images	200	OK	image_id=49826962276587
2026-05-15 15:47:33	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365262663915/images/49826963456235.json	9365262663915		images	200	OK	image_id=49826963456235
2026-05-15 15:47:35	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365262729451/images/49826964308203.json	9365262729451		images	200	OK	image_id=49826964308203
2026-05-15 15:47:37	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365262860523/images/49826964668651.json	9365262860523		images	200	OK	image_id=49826964668651
2026-05-15 15:47:39	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365100855531/images/49826965029099.json	9365100855531		images	200	OK	image_id=49826965029099
2026-05-15 15:47:41	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365100921067/images/49826965520619.json	9365100921067		images	200	OK	image_id=49826965520619
2026-05-15 15:47:43	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365100986603/images/49826965848299.json	9365100986603		images	200	OK	image_id=49826965848299
2026-05-15 15:47:45	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365101084907/images/49826966208747.json	9365101084907		images	200	OK	image_id=49826966208747
2026-05-15 15:47:47	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365101150443/images/49826967093483.json	9365101150443		images	200	OK	image_id=49826967093483
2026-05-15 15:47:49	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365101314283/images/49826968174827.json	9365101314283		images	200	OK	image_id=49826968174827
2026-05-15 15:47:51	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365101445355/images/49826969059563.json	9365101445355		images	200	OK	image_id=49826969059563
2026-05-15 15:47:53	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365101510891/images/49826970861803.json	9365101510891		images	200	OK	image_id=49826970861803
2026-05-15 15:47:55	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365101543659/images/49826972664043.json	9365101543659		images	200	OK	image_id=49826972664043
2026-05-15 15:47:57	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365101641963/images/49826973581547.json	9365101641963		images	200	OK	image_id=49826973581547
2026-05-15 15:47:59	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365101707499/images/49826973909227.json	9365101707499		images	200	OK	image_id=49826973909227
2026-05-15 15:48:00	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365101773035/images/49826974269675.json	9365101773035		images	200	OK	image_id=49826974269675
2026-05-15 15:48:02	image-delete	delete_product_image	DELETE	https://oz-nails-wa.myshopify.com/admin/api/2024-10/products/9365101805803/images/49826974531819.json	9365101805803		images	200	OK	image_id=49826974531819
